text,category,priority,sentiment
"My payment was deducted twice from my bank card for order #9921 but checkout shows failed. Please refund or confirm!","Billing","High","Negative"
"I was charged $89 for an annual renewal that I had cancelled last month. Kindly process my refund immediately.","Billing","High","Negative"
"Can you please send the GST tax invoice receipt for our July corporate accounting?","Billing","Low","Neutral"
"How do I update the credit card on file for our upcoming subscription cycle?","Billing","Low","Neutral"
"Thank you for the prompt refund! The credit appeared in my bank account this morning.","Billing","Low","Positive"
"Unable to apply promotional discount code SUMMER2026 during checkout page.","Billing","Medium","Negative"
"Double charge on my monthly invoice #INV-49210. Need correction ASAP.","Billing","High","Negative"
"Where can I find our historical billing statement for financial year 2025?","Billing","Low","Neutral"

"Website throws 500 internal server error whenever I click export CSV on analytics page.","Technical","Medium","Negative"
"Our production server is completely down and database connections are timing out! Immediate assistance needed.","Technical","High","Negative"
"The web application is freezing on login page when using Chrome browser version 128.","Technical","Medium","Negative"
"How do I configure the REST API webhook endpoints in our custom Node.js backend?","Technical","Low","Neutral"
"Is there a rate limit for your public API endpoints on the Pro tier?","Technical","Low","Neutral"
"The bug reported yesterday has been resolved and our export workflow runs smoothly now. Thanks!","Technical","Low","Positive"
"Fatal exception 401 unauthorized returned during token authentication.","Technical","High","Negative"
"Mobile responsive navbar menu is clipping on screen widths below 375px.","Technical","Low","Neutral"

"I am locked out of my account and the 2FA SMS code is not arriving on my phone.","Account","High","Negative"
"Password reset link email is not received in inbox or spam folder.","Account","High","Negative"
"How do I transfer ownership of our company team workspace to another administrator?","Account","Medium","Neutral"
"Please delete my account and associated personal data per GDPR compliance.","Account","Medium","Neutral"
"Thank you for unlocking my account so quickly! I am able to access our files now.","Account","Low","Positive"
"Need help enabling Multi-Factor Authentication (MFA) with Google Authenticator.","Account","Low","Neutral"
"Someone attempted an unauthorized login from an unknown IP address. Please verify security logs.","Account","High","Negative"

"Courier tracking says delivered yesterday but package is missing from our mailbox.","Delivery","High","Negative"
"Shipment tracking number #DL-94819 has not updated for 5 days. Is it delayed?","Delivery","Medium","Negative"
"Need to change the delivery shipping address for order #4820 before it dispatches.","Delivery","High","Negative"
"Package arrived in damaged packaging and the internal component was broken.","Delivery","High","Negative"
"The replacement unit was delivered right on time in pristine condition. Great service!","Delivery","Low","Positive"
"What is the estimated delivery turnaround time for international orders to Canada?","Delivery","Low","Neutral"

"Are there volume tier discounts available if our company upgrades to 50 user seats?","Product","Low","Positive"
"Would love to request a Dark Mode toggle feature in the upcoming desktop release.","Product","Low","Neutral"
"How does your Enterprise tier compare with the Professional tier in terms of storage limit?","Product","Low","Neutral"
"The new v2.4 UI update looks incredibly clean and intuitive. Kudos to the design team!","Product","Low","Positive"
"Missing integration with Slack for instant ticket escalation notifications.","Product","Medium","Neutral"
"Does your product support export to PDF or only CSV format?","Product","Low","Neutral"

"What are your customer support telephone operating hours on weekends?","General","Low","Neutral"
"Hello, who should I contact regarding potential corporate partnership inquiries?","General","Low","Neutral"
"Just wanted to say your support staff has been exceptionally helpful throughout onboarding!","General","Low","Positive"
"General inquiry regarding your company headquarters and office locations.","General","Low","Neutral"
